Datetime,open,high,low,close,volume,range,atr,vwap,ema,ema_slope
2025-09-29 14:35:00+00:00,664.8699951171875,664.9299926757812,664.5399780273438,664.7849731445312,611746,0.3900146484375,0.6076442173549107,664.4913500738925,664.6443258255756,0.09467857139770786
2025-09-29 14:40:00+00:00,664.780029296875,665.0700073242188,664.72998046875,665.0,475019,0.34002685546875,0.587646484375,664.5057064531212,664.6957198951961,0.21026572999983273
2025-09-29 14:45:00+00:00,665.0,665.1699829101562,664.8400268554688,664.9099731445312,630028,0.3299560546875,0.5726405552455357,664.5202939904324,664.7260868945141,0.18305793645436097
2025-09-29 14:50:00+00:00,664.9099731445312,664.969970703125,664.5700073242188,664.646484375,775988,0.39996337890625,0.5479954310825893,664.5256636956811,664.7149901938412,0.1379978167893796
2025-09-29 14:55:00+00:00,664.6500244140625,664.7000122070312,664.2899780273438,664.4600219726562,735765,0.4100341796875,0.5490679059709821,664.5231179784026,664.679951873224,0.06001722489304484
2025-09-29 15:00:00+00:00,664.4500122070312,664.6572875976562,664.3699951171875,664.5399780273438,480471,0.28729248046875,0.5267333984375,664.5235344211662,664.6609523624204,0.016626536844796647
2025-09-29 15:05:00+00:00,664.5499877929688,664.5900268554688,664.22998046875,664.260009765625,439633,0.36004638671875,0.5195966448102679,664.5177102408426,664.6071080390323,-0.08861185616387957
2025-09-29 15:10:00+00:00,664.260009765625,664.2999267578125,663.719970703125,663.780029296875,774290,0.5799560546875,0.5067356654575893,664.4900719389736,664.4970588760342,-0.2290280184798803
2025-09-29 15:15:00+00:00,663.780029296875,663.780029296875,663.2100219726562,663.6199951171875,1346948,0.57000732421875,0.45959036690848215,664.4368334085586,664.3812916368073,-0.3336985570339266
2025-09-29 15:20:00+00:00,663.6099853515625,664.010009765625,663.4299926757812,663.62109375,946834,0.58001708984375,0.45280674525669645,664.4031935880295,664.281646927682,-0.3983049455420087
2025-09-29 15:25:00+00:00,663.6300048828125,663.8300170898438,663.47998046875,663.530029296875,530431,0.35003662109375,0.4335239955357143,664.3834768980233,664.183722017577,-0.4772303448434059
2025-09-29 15:30:00+00:00,663.5399780273438,663.655029296875,663.2750244140625,663.4000244140625,762973,0.3800048828125,0.39637974330357145,664.3525390590045,664.0821543907699,-0.5249536482623398
2025-09-29 15:35:00+00:00,663.4000244140625,663.489990234375,662.9949951171875,663.4099731445312,994527,0.4949951171875,0.4124537876674107,664.3154109667612,663.9954382835363,-0.5016205924979431
2025-09-29 15:40:00+00:00,663.4099731445312,663.5599975585938,663.1900024414062,663.530029296875,414116,0.3699951171875,0.41731044224330355,664.3027370283056,663.9356368778341,-0.4456547589732054
